index,sol,name,C,N,arch_str,num_classes,index2,train-loss,train-accuracy,train-per-time,train-all-time,valid-loss,valid-accuracy,valid-per-time,valid-all-time,test-loss,test-accuracy,test-per-time,test-all-time
0,532322,infer.tiny,16,5,|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,10,0,0.319028123,88.91866666,7.221092999,1444.2186,0.565850776,81.98266666,2.548979237,509.7958474,0.576099647,81.52,1.019591695,203.918339
1,445242,infer.tiny,16,5,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|skip_connect~2|,10,1,0.001767178,99.98533333,10.84820688,2169.641376,0.438929597,90.76933332,3.754198977,750.8397954,0.457183462,90.51333333,1.501679591,300.3359182
2,544555,infer.tiny,16,5,|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,10,2,0.308339418,89.31466666,11.33588839,2267.177677,0.5661588,81.91066666,3.974246979,794.8493958,0.570830253,81.84,1.589698792,317.9397583
3,521112,infer.tiny,16,5,|avg_pool_3x3~0|+|skip_connect~0|none~1|+|none~0|none~1|skip_connect~2|,10,3,0.262831069,91.23999998,4.165244937,833.0489874,0.476876744,84.37733332,2.436559853,487.3119706,0.491333668,83.88333333,0.974623941,194.9247882
4,223223,infer.tiny,16,5,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,10,4,0.255936336,91.29199999,6.484299064,1296.859813,0.459336335,85.12533334,2.413160177,482.6320353,0.478734207,84.49666667,0.965264071,193.0528141
5,323415,infer.tiny,16,5,|nor_conv_1x1~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|avg_pool_3x3~2|,10,5,0.004623397,99.95333333,9.96243,1992.486,0.575061054,87.812,3.243704892,648.7409785,0.57107856,87.78,1.297481957,259.4963914
6,411544,infer.tiny,16,5,|nor_conv_3x3~0|+|none~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,10,6,0.002676314,99.96533333,11.28537852,2257.075703,0.57231554,88.80933334,3.932845749,786.5691497,0.571083827,88.64666667,1.573138299,314.6276599
7,125244,infer.tiny,16,5,|none~0|+|skip_connect~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,10,7,0.006952221,99.92133333,8.705763678,1741.152736,0.459063597,89.15466667,3.215378012,643.0756024,0.478665535,88.77333333,1.286151205,257.230241
8,352214,infer.tiny,16,5,|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,10,8,0.004405782,99.96133333,8.205190182,1641.038036,0.479183206,89.24399999,2.871217941,574.2435881,0.493599353,88.81,1.148487176,229.6974352
9,511214,infer.tiny,16,5,|avg_pool_3x3~0|+|none~0|none~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,10,9,0.268704119,90.94399999,6.539863189,1307.972638,0.474692736,84.46266668,2.682795326,536.5590652,0.485567395,84.11666667,1.07311813,214.6236261
10,444111,infer.tiny,16,5,|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|none~0|none~1|none~2|,10,10,2.302460288,10.288,10.23795732,2047.591464,2.302956909,9.711999999,3.65178209,730.356418,2.302708534,10,1.460712836,292.1425672
11,445145,infer.tiny,16,5,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|,10,11,0.009964147,99.78133333,12.4620568,2492.411359,0.559111245,87.94,4.151251713,830.2503427,0.567377859,87.65,1.660500685,332.1001371
12,111145,infer.tiny,16,5,|none~0|+|none~0|none~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|,10,12,2.302460316,10.288,6.658708274,1331.741655,2.302958483,9.712000001,2.720004703,544.0009407,2.302709462,10,1.088001881,217.6003763
13,152433,infer.tiny,16,5,|none~0|+|avg_pool_3x3~0|skip_connect~1|+|nor_conv_3x3~0|nor_conv_1x1~1|nor_conv_1x1~2|,10,13,0.007588373,99.864,10.12941891,2025.883782,0.53853208,88.34533333,3.203400444,640.6800889,0.553250377,87.83666667,1.281360178,256.2720356
14,413411,infer.tiny,16,5,|nor_conv_3x3~0|+|none~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|none~2|,10,14,0.007281758,99.888,9.838987966,1967.797593,0.512297016,88.59466666,3.371430323,674.2860646,0.522921968,88.3,1.348572129,269.7144259
15,252215,infer.tiny,16,5,|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|avg_pool_3x3~2|,10,15,1.176590959,57.86533333,4.628673951,925.7347902,1.225723736,56.54266666,2.390761517,478.1523035,1.217505434,56.19333333,0.956304607,191.2609214
16,224214,infer.tiny,16,5,|skip_connect~0|+|skip_connect~0|nor_conv_3x3~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,10,16,0.002354386,99.97733333,7.614496072,1522.899214,0.46507577,90.26666667,2.916911755,583.3823511,0.476398439,89.90333333,1.166764702,233.3529404
17,523323,infer.tiny,16,5,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_1x1~2|,10,17,0.010671795,99.85066667,9.239934365,1847.986873,0.595935347,86.70266667,2.946509861,589.3019722,0.618950447,86.19666667,1.178603944,235.7207889
18,554423,infer.tiny,16,5,|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,10,18,0.004395658,99.95466667,11.60011647,2320.023294,0.588271068,87.784,3.751186572,750.2373145,0.598995641,87.44666667,1.500474629,300.0949258
19,443551,infer.tiny,16,5,|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,10,19,0.025843533,99.37733334,11.40891248,2281.782496,0.691984269,84.80266667,3.783258427,756.6516854,0.701606925,84.35666667,1.513303371,302.6606741
20,155244,infer.tiny,16,5,|none~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,10,20,0.018879604,99.58,10.01121769,2002.243539,0.578792672,87.28533332,3.487259618,697.4519236,0.584990967,86.92666667,1.394903847,278.9807694
21,311341,infer.tiny,16,5,|nor_conv_1x1~0|+|none~0|none~1|+|nor_conv_1x1~0|nor_conv_3x3~1|none~2|,10,21,0.007955694,99.87066667,9.26245592,1852.491184,0.478510189,89.33066666,3.107874195,621.574839,0.482279593,89.14,1.243149678,248.6299356
22,551453,infer.tiny,16,5,|avg_pool_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_1x1~2|,10,22,0.01901985,99.612,10.28153002,2056.306005,0.624709574,86.06266667,3.433572834,686.7145669,0.635636038,85.79333333,1.373429134,274.6858268
23,254445,infer.tiny,16,5,|skip_connect~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,10,23,0.017902166,99.60533333,11.84539729,2369.079459,0.622054237,86.128,4.104743529,820.9487058,0.622428286,86.15,1.641897412,328.3794823
24,223125,infer.tiny,16,5,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,10,24,0.304047249,89.53466668,5.550646722,1110.129344,0.561425457,82.348,2.410544072,482.1088144,0.573938578,81.62333333,0.964217629,192.8435258
25,212112,infer.tiny,16,5,|skip_connect~0|+|none~0|skip_connect~1|+|none~0|none~1|skip_connect~2|,10,25,0.270615918,90.96133332,3.14468203,628.936406,0.480126842,84.32533332,2.362015034,472.4030069,0.489635861,83.87666667,0.944806014,188.9612028
26,333352,infer.tiny,16,5,|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_1x1~0|avg_pool_3x3~1|skip_connect~2|,10,26,0.026212727,99.3,11.37477122,2274.954244,0.566921422,87.17866666,3.260998683,652.1997367,0.567595806,86.94333333,1.304399473,260.8798947
27,523331,infer.tiny,16,5,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|nor_conv_1x1~1|none~2|,10,27,0.032364009,99.10000001,9.658029775,1931.605955,0.567488079,86.58400001,3.011993354,602.3986709,0.562374267,86.55,1.204797342,240.9594683
28,352252,infer.tiny,16,5,|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|avg_pool_3x3~1|skip_connect~2|,10,28,0.301188958,89.69466667,6.354437093,1270.887419,0.533660821,83.02933333,2.482596551,496.5193101,0.535143388,82.7,0.99303862,198.6077241
29,451551,infer.tiny,16,5,|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,10,29,0.025589948,99.39733334,8.563255727,1712.651145,0.685651648,84.82000001,3.162440388,632.4880776,0.690435816,84.46,1.264976155,252.995231
30,121421,infer.tiny,16,5,|none~0|+|skip_connect~0|none~1|+|nor_conv_3x3~0|skip_connect~1|none~2|,10,30,0.006419945,99.924,5.536665857,1107.333171,0.508163069,88.82399999,2.492515487,498.5030975,0.516244926,88.51333333,0.997006195,199.401239
31,231545,infer.tiny,16,5,|skip_connect~0|+|nor_conv_1x1~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,10,31,0.008993831,99.864,8.931762497,1786.352499,0.583450629,87.36266666,3.207904526,641.5809052,0.591322777,87.14666667,1.28316181,256.6323621
32,232124,infer.tiny,16,5,|skip_connect~0|+|nor_conv_1x1~0|skip_connect~1|+|none~0|skip_connect~1|nor_conv_3x3~2|,10,32,0.004654652,99.95866667,7.074483057,1414.896611,0.454435682,89.47466666,2.638225584,527.6451168,0.4777299,89.07666667,1.055290234,211.0580467
33,312345,infer.tiny,16,5,|nor_conv_1x1~0|+|none~0|skip_connect~1|+|nor_conv_1x1~0|nor_conv_3x3~1|avg_pool_3x3~2|,10,33,0.007666741,99.876,10.1115128,2022.30256,0.531542645,88.57866666,3.222215502,644.4431004,0.543247577,88.14666667,1.288886201,257.7772402
34,315412,infer.tiny,16,5,|nor_conv_1x1~0|+|none~0|avg_pool_3x3~1|+|nor_conv_3x3~0|none~1|skip_connect~2|,10,34,0.006997744,99.90666667,8.335176369,1667.035274,0.542849471,88.24933333,2.964144292,592.8288585,0.544265794,88.22333333,1.185657717,237.1315434
35,251314,infer.tiny,16,5,|skip_connect~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|,10,35,0.014008532,99.65466667,8.33294785,1666.58957,0.54227224,88.024,3.034165615,606.833123,0.563551577,87.67,1.213666246,242.7332492
36,542543,infer.tiny,16,5,|avg_pool_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,10,36,0.006056018,99.93066667,11.52780908,2305.561817,0.587053331,87.59333333,3.788451226,757.6902452,0.599175928,87.39333333,1.51538049,303.0760981
37,322152,infer.tiny,16,5,|nor_conv_1x1~0|+|skip_connect~0|skip_connect~1|+|none~0|avg_pool_3x3~1|skip_connect~2|,10,37,0.047153523,98.78000001,5.56539766,1113.079532,0.510743012,87.04800001,2.464042561,492.8085123,0.523323957,86.55,0.985617025,197.1234049
38,452143,infer.tiny,16,5,|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|none~0|nor_conv_3x3~1|nor_conv_1x1~2|,10,38,0.005432496,99.896,10.69831951,2139.663903,0.560558828,88.69466665,3.552073184,710.4146367,0.571725624,88.49333333,1.420829273,284.1658547
39,231232,infer.tiny,16,5,|skip_connect~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|nor_conv_1x1~1|skip_connect~2|,10,39,0.069093321,98.29733334,6.628000637,1325.600127,0.457694055,86.89600001,2.459941549,491.9883098,0.466195638,86.70666667,0.98397662,196.7953239
40,124135,infer.tiny,16,5,|none~0|+|skip_connect~0|nor_conv_3x3~1|+|none~0|nor_conv_1x1~1|avg_pool_3x3~2|,10,40,0.545801039,81.03999998,8.079588433,1615.917687,0.849822836,72.01600001,2.91796839,583.5936779,0.849689627,71.41333333,1.167187356,233.4374712
41,341311,infer.tiny,16,5,|nor_conv_1x1~0|+|nor_conv_3x3~0|none~1|+|nor_conv_1x1~0|none~1|none~2|,10,41,0.125901499,96.15466668,9.277724485,1855.544897,0.463553257,85.99866668,3.125412521,625.0825042,0.482313141,85.72,1.250165008,250.0330017
42,143214,infer.tiny,16,5,|none~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,10,42,0.001939773,99.984,9.727290849,1945.45817,0.425683347,91.04,3.409577864,681.9155727,0.441493822,90.64333333,1.363831145,272.7662291
43,151454,infer.tiny,16,5,|none~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_3x3~2|,10,43,0.006727362,99.86533333,10.21354487,2042.708973,0.550583419,88.45999998,3.624396466,724.8792932,0.552518773,88.37,1.449758586,289.9517173
44,523125,infer.tiny,16,5,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,10,44,0.526328338,81.43466667,6.457196216,1291.439243,0.734306842,75.54,2.532525786,506.5051573,0.743865077,75.18666667,1.013010315,202.6020629
45,221132,infer.tiny,16,5,|skip_connect~0|+|skip_connect~0|none~1|+|none~0|nor_conv_1x1~1|skip_connect~2|,10,45,0.068468881,98.29066668,4.851704677,970.3409354,0.459915424,86.90666666,2.384202381,476.8404762,0.479784158,86.47666667,0.953680952,190.7361905
46,255544,infer.tiny,16,5,|skip_connect~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,10,46,0.009182679,99.83733333,10.94006489,2188.012977,0.58518315,87.25333332,3.726149301,745.2298601,0.604393833,86.88333333,1.49045972,298.0919441
47,125445,infer.tiny,16,5,|none~0|+|skip_connect~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,10,47,0.009017865,99.856,9.553917289,1910.783458,0.58911334,87.26666666,3.488996057,697.7992115,0.605962816,86.72,1.395598423,279.1196846
48,215223,infer.tiny,16,5,|skip_connect~0|+|none~0|avg_pool_3x3~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,10,48,0.301960716,89.61466667,5.798342586,1159.668517,0.534000324,82.86666668,2.418055293,483.6110586,0.541033711,82.67666667,0.967222117,193.4444234
49,451322,infer.tiny,16,5,|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,10,49,0.007106931,99.90933333,8.029472609,1605.894522,0.556894422,87.94,2.890726796,578.1453592,0.564262451,87.78333333,1.156290718,231.2581437
50,343423,infer.tiny,16,5,|nor_conv_1x1~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,10,50,0.00294901,99.976,13.25254146,2650.508293,0.480946389,89.81599999,3.85597527,771.1950541,0.487781327,89.62333333,1.542390108,308.4780216
51,152243,infer.tiny,16,5,|none~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|,10,51,0.062175996,98.18800001,8.198362331,1639.672466,0.578874373,85.792,2.83211034,566.4220679,0.584375979,85.27666667,1.132844136,226.5688272
52,445253,infer.tiny,16,5,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|avg_pool_3x3~1|nor_conv_1x1~2|,10,52,0.002764227,99.97866667,11.62876389,2325.752779,0.44258181,90.56933332,3.76612036,753.224072,0.45232264,90.29333333,1.506448144,301.2896288
53,552522,infer.tiny,16,5,|avg_pool_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,10,53,1.842620381,33.25866666,5.377185166,1075.437033,1.857941596,32.85066667,2.45785848,491.571696,1.852232291,34.19666667,0.983143392,196.6286784
54,532424,infer.tiny,16,5,|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_3x3~2|,10,54,0.005333267,99.94,10.4064334,2081.286681,0.582656552,87.69333333,3.447036176,689.4072351,0.599308591,87.28666667,1.37881447,275.762894
55,225121,infer.tiny,16,5,|skip_connect~0|+|skip_connect~0|avg_pool_3x3~1|+|none~0|skip_connect~1|none~2|,10,55,0.270717758,91.06933332,3.987858852,797.5717704,0.482954275,84.11466668,2.371960084,474.3920167,0.48694555,84.14666667,0.948784033,189.7568067
56,455233,infer.tiny,16,5,|nor_conv_3x3~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,10,56,0.002911028,99.98266667,11.19710135,2239.420271,0.419189217,90.42933333,3.460854207,692.1708414,0.439012479,90.04666667,1.384341683,276.8683365
57,145551,infer.tiny,16,5,|none~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,10,57,0.524104279,81.78266665,8.43042175,1686.08435,0.855800925,72.04133334,3.167072847,633.4145694,0.873759484,71.65666667,1.266829139,253.3658277
58,215522,infer.tiny,16,5,|skip_connect~0|+|none~0|avg_pool_3x3~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,10,58,1.09918931,60.95066666,4.599513451,919.9026903,1.150349855,59.34666666,2.389972891,477.9945782,1.133096017,59.53666667,0.955989156,191.1978313
59,235335,infer.tiny,16,5,|skip_connect~0|+|nor_conv_1x1~0|avg_pool_3x3~1|+|nor_conv_1x1~0|nor_conv_1x1~1|avg_pool_3x3~2|,10,59,0.038708104,99.04400001,10.10259406,2020.518812,0.632117512,84.788,3.137073418,627.4146835,0.661979223,84.23666667,1.254829367,250.9658734
60,132323,infer.tiny,16,5,|none~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_1x1~2|,10,60,0.085630858,97.71466668,8.586309135,1717.261827,0.469564558,86.31066666,2.780495527,556.0991054,0.48376755,86.15,1.112198211,222.4396422
61,324155,infer.tiny,16,5,|nor_conv_1x1~0|+|skip_connect~0|nor_conv_3x3~1|+|none~0|avg_pool_3x3~1|avg_pool_3x3~2|,10,61,0.009236966,99.83866667,8.952278833,1790.455767,0.717672035,85.368,3.238834299,647.7668598,0.738671353,84.98,1.29553372,259.1067439
62,345312,infer.tiny,16,5,|nor_conv_1x1~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_1x1~0|none~1|skip_connect~2|,10,62,0.006204502,99.916,10.088018,2017.6036,0.516465196,88.57466666,3.222475605,644.4951211,0.522429058,88.52666667,1.288990242,257.7980484
63,434355,infer.tiny,16,5,|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_1x1~0|avg_pool_3x3~1|avg_pool_3x3~2|,10,63,0.005025693,99.89466667,13.55264715,2710.529431,0.557651893,88.75466665,4.049216452,809.8432904,0.566990633,88.55333333,1.619686581,323.9373162
64,534443,infer.tiny,16,5,|avg_pool_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,10,64,0.003477937,99.96,14.97945086,2995.890172,0.509371945,89.55066666,4.466329969,893.2659938,0.519728648,89.27666667,1.786531988,357.3063975
65,445343,infer.tiny,16,5,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_1x1~0|nor_conv_3x3~1|nor_conv_1x1~2|,10,65,0.002298067,99.97866667,14.89978826,2979.957652,0.473474972,90.39866666,4.434895005,886.9790009,0.478736151,90.24,1.773958002,354.7916004
